Team_id,Abbreviation,Team_Name,Venue_id,Team_logo,Team_Venue,Venue_City,Venue_State,Venue_ZipCode,Venue_Capacity,Venue_Grass,Venue_Indoor,Latitude,Longitude,Location
1,ATL,Atlanta Falcons,5348,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,Mercedes-Benz Stadium,Atlanta,GA,30313,75000,FALSE,TRUE,33.76293172,-84.3960614,"(33.76293171583055, -84.39606140301004)"
2,BUF,Buffalo Bills,3883,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,Highmark Stadium,Orchard Park,NY,14127,71621,FALSE,FALSE,42.76375798,-78.75026984,"(42.76375798202035, -78.75026984439712)"
3,CHI,Chicago Bears,3933,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,Soldier Field,Chicago,IL,60605,61500,TRUE,FALSE,41.87030742,-87.62692521,"(41.870307417105266, -87.62692521008772)"
4,CIN,Cincinnati Bengals,3874,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,Paycor Stadium,Cincinnati,OH,45202,65515,FALSE,FALSE,39.10777836,-84.51029897,"(39.107778355093096, -84.51029897382256)"
5,CLE,Cleveland Browns,3679,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,Cleveland Browns Stadium,Cleveland,OH,44114,67431,TRUE,FALSE,41.50615908,-81.68096073,"(41.50615907683215, -81.68096072624114)"
6,DAL,Dallas Cowboys,3687,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,AT&T Stadium,Arlington,TX,76011,100000,FALSE,TRUE,32.7563455,-97.0687526,"(32.7563455, -97.0687526)"
7,DEN,Denver Broncos,3937,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,Empower Field at Mile High,Denver,CO,80204,76125,TRUE,FALSE,39.73490818,-105.0257622,"(39.73490818177997, -105.02576222527024)"
8,DET,Detroit Lions,3727,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,Ford Field,Detroit,MI,48226,64500,FALSE,TRUE,42.33248607,-83.0489957,"(42.332486065843625, -83.0489956957476)"
9,GB,Green Bay Packers,3798,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,Lambeau Field,Green Bay,WI,54304,81041,TRUE,FALSE,44.50002035,-88.06641306,"(44.50002035041186, -88.06641305848436)"
10,TEN,Tennessee Titans,3810,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,Nissan Stadium,Nashville,TN,37213,69143,TRUE,FALSE,36.1641665,-86.76590343,"(36.1641665, -86.76590343)"
11,IND,Indianapolis Colts,3812,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,Lucas Oil Stadium,Indianapolis,IN,46225,63000,FALSE,TRUE,39.74263773,-86.15708921,"(39.74263773453725, -86.15708921142776)"
12,KC,Kansas City Chiefs,3622,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,GEHA Field at Arrowhead Stadium,Kansas City,MO,64129,72936,TRUE,FALSE,39.04597513,-94.49768449,"(39.04597513213115, -94.49768449114754)"
13,LV,Las Vegas Raiders,6501,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,Allegiant Stadium,Las Vegas,NV,89118,65000,TRUE,TRUE,36.08381093,-115.2141372,"(36.08381093012048, -115.21413716024097)"
14,LAR,Los Angeles Rams,477,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,Los Angeles Memorial Coliseum,Los Angeles,CA,90037,77500,TRUE,FALSE,34.00480066,-118.2837824,"(34.00480065549133, -118.28378237109825)"
15,MIA,Miami Dolphins,3948,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,Hard Rock Stadium,Miami Gardens,FL,33056,64767,TRUE,FALSE,25.9463513,-80.24801251,"(25.946351299165933, -80.24801250761456)"
16,MIN,Minnesota Vikings,5239,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,U.S. Bank Stadium,Minneapolis,MN,55415,66468,FALSE,TRUE,44.97592885,-93.25934044,"(44.975928851086955, -93.25934043586956)"
17,NE,New England Patriots,3738,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,Gillette Stadium,Foxboro,MA,2035,65878,FALSE,FALSE,34.066091,-95.140489,"(34.066091, -95.140489)"
18,NO,New Orleans Saints,3493,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,Caesars Superdome,New Orleans,LA,70112,73000,FALSE,TRUE,29.95691329,-90.07529824,"(29.95691328828125, -90.0752982390625)"
19,NYG,New York Giants,3839,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,MetLife Stadium,East Rutherford,NJ,7073,82500,FALSE,FALSE,42.9133982,-85.7046133,"(42.9133982, -85.7046133)"
20,NYJ,New York Jets,3839,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,MetLife Stadium,East Rutherford,NJ,7073,82500,FALSE,FALSE,42.9133982,-85.7046133,"(42.9133982, -85.7046133)"
21,PHI,Philadelphia Eagles,3806,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,Lincoln Financial Field,Philadelphia,PA,19148,69879,TRUE,FALSE,39.9191823,-75.15770335,"(39.91918229863248, -75.15770335264956)"
22,ARI,Arizona Cardinals,3970,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,State Farm Stadium,Glendale,AZ,85305,65000,TRUE,TRUE,33.52829563,-112.2554475,"(33.52829563047474, -112.25544751837673)"
23,PIT,Pittsburgh Steelers,3752,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,Acrisure Stadium,Pittsburgh,PA,15212,68400,TRUE,FALSE,40.46728656,-80.00836354,"(40.467286557825204, -80.00836354004065)"
24,LAC,Los Angeles Chargers,538,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,Dignity Health Sports Park,Carson,CA,90746,27000,FALSE,FALSE,33.86126351,-118.2571245,"(33.86126350599174, -118.25712453078513)"
25,SF,San Francisco 49ers,4738,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,Levi's Stadium,Santa Clara,CA,95054,68500,TRUE,FALSE,37.38743902,-121.9694402,"(37.38743902121848, -121.96944016218488)"
26,SEA,Seattle Seahawks,3673,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,Lumen Field,Seattle,WA,98134,68740,FALSE,FALSE,47.5787902,-122.3329795,"(47.578790201629445, -122.33297948883524)"
27,TB,Tampa Bay Buccaneers,3886,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,Raymond James Stadium,Tampa,FL,33607,65828,TRUE,FALSE,27.96123634,-82.50628261,"(27.961236344840763, -82.50628261146497)"
28,WSH,Washington Commanders,3719,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,FedExField,Landover,MD,20785,67617,TRUE,FALSE,38.9146694,-76.88323352,"(38.91466939873171, -76.88323352041685)"
29,CAR,Carolina Panthers,3628,https://a.espncdn.com/i/teamlogos/nfl/500/car.png,Bank of America Stadium,Charlotte,NC,28202,73778,TRUE,FALSE,35.22761801,-80.84235921,"(35.227618013333334, -80.8423592072)"
30,JAX,Jacksonville Jaguars,3712,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,TIAA Bank Field,Jacksonville,FL,32202,67858,TRUE,FALSE,30.32910428,-81.65285397,"(30.32910428360951, -81.65285396559798)"
33,BAL,Baltimore Ravens,3814,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,M&T Bank Stadium,Baltimore,MD,21230,70745,TRUE,FALSE,39.27125899,-76.62308293,"(39.271258993451426, -76.62308293303295)"
34,HOU,Houston Texans,3891,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,NRG Stadium,Houston,TX,77054,71995,FALSE,TRUE,29.68653192,-95.38400958,"(29.686531920080323, -95.3840095815261)"
